created_at,path_name,path_name_related
'2022-11-05 21:28:04.421',"microbiologists","mycologists"
'2022-11-05 21:28:04.421',"microbiologists","parasitologists"
'2022-11-05 21:28:04.421',"microbiologists","public health microbiologists"
'2022-11-05 21:28:04.421',"microbiologists","virologists"
'2022-11-05 21:28:04.421',"nuclear technicians","operating technicians"
'2022-11-05 21:28:04.421',"nuclear technicians","radiation protection technicnans"
'2022-11-05 21:28:04.421',"physicists, astronomers","astronomers"
'2022-11-05 21:28:04.421',"physicists, astronomers","physicists"
'2022-11-05 21:28:04.421',"physicists, astronomers","experimental physicists"
'2022-11-05 21:28:04.421',"physicists, astronomers","astrophysicists"
'2022-11-05 21:28:04.421',"physicists, astronomers","atomic physicists"
'2022-11-05 21:28:04.421',"physicists, astronomers","molecular physicists"
'2022-11-05 21:28:04.421',"physicists, astronomers","optical physicists"
'2022-11-05 21:28:04.421',"physicists, astronomers","condense matter physicists"
'2022-11-05 21:28:04.421',"physicists, astronomers","materials physicists"
'2022-11-05 21:28:04.421',"physicists, astronomers","medical physicists"
'2022-11-05 21:28:04.421',"physicists, astronomers","particle physicists"
'2022-11-05 21:28:04.421',"physicists, astronomers","nuclear physicists"
'2022-11-05 21:28:04.421',"physicists, astronomers","plasma physicists"
'2022-11-05 21:28:04.421',"physicists, astronomers","cosmologists"
'2022-11-05 21:28:04.421',"physicists, astronomers","extragalactic astronomers"
'2022-11-05 21:28:04.421',"physicists, astronomers","galactic astronomers"
'2022-11-05 21:28:04.421',"physicists, astronomers","planetary astronomers"
'2022-11-05 21:28:04.421',"physicists, astronomers","solar astronomers"
'2022-11-05 21:28:04.421',"physicists, astronomers","stellar astronomers"
'2022-11-05 21:28:04.421',"physicists, astronomers","optical astronomers"
'2022-11-05 21:28:04.421',"physicists, astronomers","radio astronomers"
'2022-11-05 21:28:04.421',"psychologists","clinical psychologists"
'2022-11-05 21:28:04.421',"psychologists","counseling psychologists"
'2022-11-05 21:28:04.421',"psychologists","developmental psychologists"
'2022-11-05 21:28:04.421',"psychologists","forensic psychologists"
'2022-11-05 21:28:04.421',"psychologists","industrial organizational psychologists"
'2022-11-05 21:28:04.421',"psychologists","rehabilitation psychologists"
'2022-11-05 21:28:04.421',"psychologists","school psychologists"
'2022-11-05 21:28:04.421',"administrative services managers","facility managers"
'2022-11-05 21:28:04.421',"administrative services managers","records and information managers"
'2022-11-05 21:28:04.421',"advertising managers, promotions managers, marketing managers","advertising managers"
'2022-11-05 21:28:04.421',"advertising managers, promotions managers, marketing managers","promotions managers"
'2022-11-05 21:28:04.421',"advertising managers, promotions managers, marketing managers","marketing managers"
'2022-11-05 21:28:04.421',"computer and information systems managers","chief information officers"
'2022-11-05 21:28:04.421',"computer and information systems managers","chief technology officers"
'2022-11-05 21:28:04.421',"computer and information systems managers","it directors"
'2022-11-05 21:28:04.421',"computer and information systems managers","it security managers"
'2022-11-05 21:28:04.421',"farmers, ranchers, and other agricultural managers","farmers"
'2022-11-05 21:28:04.421',"farmers, ranchers, and other agricultural managers","ranchers"
'2022-11-05 21:28:04.421',"farmers, ranchers, and other agricultural managers","agricultural managers"
'2022-11-05 21:28:04.421',"farmers, ranchers, and other agricultural managers","crop farmers"
'2022-11-05 21:28:04.421',"farmers, ranchers, and other agricultural managers","crop managers"
